"n_markers","noise_frac","rep","prop_cor_mean","prop_cor_min","auroc","cci_true","cci_bg","cci_separation","runtime"
10,0.5,5,0.778581173415272,0.0749440499868817,0.981794642857159,0.331026739351124,0.74010933158484,0.409082592233716,0.0186018943786621
15,0,1,0.913637068849057,0.741520692548497,0.996714285714287,0.293490867512037,0.720282998909771,0.426792131397734,0.0112929344177246
15,0,2,0.931905437892037,0.747697648779879,0.991100000000022,0.29644978214896,0.737663910292177,0.441214128143217,0.0113289356231689
15,0,3,0.938931102707122,0.864059937713433,0.975324999999989,0.298797345169424,0.733791026417872,0.434993681248448,0.0112929344177246
15,0,4,0.939868952298257,0.815754886626408,0.976162500000015,0.296448542663362,0.700210954628536,0.403762411965174,0.0106499195098877
15,0,5,0.964803637052726,0.946542301666418,0.982196428571444,0.274057573320639,0.702925111763892,0.428867538443253,0.0110640525817871
15,0.1,1,0.886623995984443,0.534940952808382,0.98401071428573,0.253391699283258,0.741796214177954,0.488404514894696,0.0128190517425537
15,0.1,2,0.957848634350775,0.874114510464077,0.990583928571464,0.354407404909204,0.75834437831036,0.403936973401156,0.0130000114440918
15,0.1,3,0.95781950242984,0.902113884535306,0.988342857142865,0.258785775729963,0.693082909176883,0.43429713344692,0.0129361152648926
15,0.1,4,0.933457541978413,0.783762282515053,0.993207142857133,0.281013339860458,0.745342383095306,0.464329043234848,0.0127131938934326
15,0.1,5,0.932897430426464,0.786109798158093,0.997533928571455,0.292011628943398,0.746464890278506,0.454453261335107,0.0128829479217529
15,0.25,1,0.935244428862649,0.766058647026329,0.984741071428582,0.209072060528835,0.630309599025991,0.421237538497156,0.0147349834442139
15,0.25,2,0.95446188620855,0.870208818225663,0.986562500000007,0.30617704317134,0.772095601190926,0.465918558019586,0.0144670009613037
15,0.25,3,0.942435120822829,0.893826642670869,0.966724999999993,0.317653809491599,0.787652901336366,0.469999091844768,0.0149061679840088
15,0.25,4,0.943538139699324,0.875181289141142,0.960485714285678,0.380262306868257,0.764333377232143,0.384071070363886,0.0172109603881836
15,0.25,5,0.952791772435995,0.863430861944273,0.978994642857152,0.354673391612737,0.766687676478868,0.412014284866131,0.0151820182800293
15,0.5,1,0.937677106494887,0.815384794929244,0.979428571428563,0.359926440212576,0.800417280304951,0.440490840092375,0.0190119743347168
15,0.5,2,0.901382010959798,0.636582877325991,0.99908392857143,0.328187013808643,0.799385866577948,0.471198852769305,0.0190210342407227
15,0.5,3,0.917222829880278,0.715274006813183,0.979607142857128,0.318130325110057,0.806918508294445,0.488788183184388,0.0186100006103516
15,0.5,4,0.761495424517308,-0.0257254286933781,0.979171428571436,0.351588675897583,0.815529878528254,0.463941202630671,0.0188369750976562
15,0.5,5,0.954467448720346,0.868114601487372,0.99032321428573,0.302629745177738,0.74919935021628,0.446569605038542,0.0190670490264893
