"Gene","logFC.unadj","logFC.adj","CCI","CCI_lower_approx","CCI_upper_approx","adj.P.Val.adj","CCI_Rank_Tier","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_variant","CompositionTransform","Seed","N_Bootstrap_Per_Seed","PriorityGene"
"IL6",3.54199058957575,2.74210616083226,0.225829066598197,0,0.602554010968039,0.000241917945113824,"Low-moderate",0.138852387663235,0.0401755680969526,0.316983760418559,8,3,16,0.86,0,0.105,200,"stabilized","ilr",31415,200,FALSE
"JAK2",-0.848198108696969,-1.05399036591764,0.242622867359153,0,0.875053523227482,3.08791813389283e-05,"Low-moderate",0.279997762571413,0.0628928900220148,0.426987772243028,14,3,17,0.29,0.005,0.075,200,"stabilized","ilr",42,200,FALSE
"JAK2",-0.848198108696969,-1.05399036591764,0.242622867359153,0,0.875053523227482,3.08791813389283e-05,"Low-moderate",0.265945259342587,0.059855568979094,0.465912243600848,13,4,17,0.27,0.01,0.06,200,"stabilized","ilr",2026,200,FALSE
"JAK2",-0.848198108696969,-1.05399036591764,0.242622867359153,0,0.875053523227482,3.08791813389283e-05,"Low-moderate",0.278039559986429,0.0763024684910771,0.433175292584901,13,4,17,0.245,0.01,0.04,200,"stabilized","ilr",31415,200,FALSE
"NCOA4",-0.00311983821212122,-0.0752940166567457,0.721741784446244,0,1,0.533976783922637,"High",0.778163834405195,0.0610426368079097,1,19,4,20,0.07,0.775,0.035,200,"stabilized","ilr",42,200,FALSE
"NCOA4",-0.00311983821212122,-0.0752940166567457,0.721741784446244,0,1,0.533976783922637,"High",0.793599830316637,0.138381552084763,1,19,9.975,20,0.055,0.805,0.015,200,"stabilized","ilr",2026,200,FALSE
"NCOA4",-0.00311983821212122,-0.0752940166567457,0.721741784446244,0,1,0.533976783922637,"High",0.727113500046398,0.0934659728956084,1,19,6.925,20,0.055,0.765,0.025,200,"stabilized","ilr",31415,200,FALSE
"NFE2L2",-0.23248306960606,-0.212667773985511,0.0852332845317535,0,1,0.344737953419474,"Lowest",0.301450825202919,0.00595496239853729,0.966184247218782,15,1.975,19.0125,0.33,0.24,0.135,200,"stabilized","ilr",42,200,FALSE
"NFE2L2",-0.23248306960606,-0.212667773985511,0.0852332845317535,0,1,0.344737953419474,"Lowest",0.30163031312755,0.0433770451018153,1,15,2.975,19,0.35,0.24,0.12,200,"stabilized","ilr",2026,200,FALSE
"NFE2L2",-0.23248306960606,-0.212667773985511,0.0852332845317535,0,1,0.344737953419474,"Lowest",0.310894198906537,0.0141961891207631,1,15,1,19.0125,0.355,0.27,0.115,200,"stabilized","ilr",31415,200,FALSE
"SLC25A37",2.60260783566666,2.16037301388857,0.1699198840938,0,0.44888959752665,2.99424741446471e-07,"Lowest",0.239971317332117,0.118366334806272,0.350736810379332,12,8,17,0.215,0.005,0.005,200,"stabilized","ilr",42,200,FALSE
"SLC25A37",2.60260783566666,2.16037301388857,0.1699198840938,0,0.44888959752665,2.99424741446471e-07,"Lowest",0.241608840657194,0.119519880614781,0.342910361222183,12,7.975,17,0.21,0,0.005,200,"stabilized","ilr",2026,200,FALSE
"SLC25A37",2.60260783566666,2.16037301388857,0.1699198840938,0,0.44888959752665,2.99424741446471e-07,"Lowest",0.236524120418443,0.140850798110658,0.353234258450395,12,8,17,0.22,0,0.005,200,"stabilized","ilr",31415,200,FALSE
"SLC40A1",0.466038067878787,0.711572785338864,0.526855496113546,0,1,0.0245021233797759,"High",0.403024186181482,0.0404992120126769,0.748033847759993,17,3,19.5125,0.21,0.32,0.05,200,"stabilized","ilr",42,200,FALSE
"SLC40A1",0.466038067878787,0.711572785338864,0.526855496113546,0,1,0.0245021233797759,"High",0.3986551873714,0.0237840041982937,0.887028437263001,16,1,19.025,0.195,0.305,0.1,200,"stabilized","ilr",2026,200,FALSE
"SLC40A1",0.466038067878787,0.711572785338864,0.526855496113546,0,1,0.0245021233797759,"High",0.424728692438626,0.0628946545510037,0.893826942514943,17,5,19.5,0.17,0.345,0.05,200,"stabilized","ilr",31415,200,FALSE
"STAT3",0.889530534242423,0.731498485871507,0.177657811944033,0,0.651305304285564,0.00161710898036745,"Lowest",0.168201218654492,0.0097206009319807,0.330066919943264,10,1,14,0.62,0,0.175,200,"stabilized","ilr",42,200,FALSE
"STAT3",0.889530534242423,0.731498485871507,0.177657811944033,0,0.651305304285564,0.00161710898036745,"Lowest",0.188536604650493,0.0223202403275048,0.382215143775519,10,1,15,0.55,0,0.135,200,"stabilized","ilr",2026,200,FALSE
"STAT3",0.889530534242423,0.731498485871507,0.177657811944033,0,0.651305304285564,0.00161710898036745,"Lowest",0.181558459470971,0.00517296425879293,0.364118478910463,10,1,15,0.575,0,0.185,200,"stabilized","ilr",31415,200,FALSE
"TFRC",0.831383091727272,0.72430138845612,0.128799472032419,0,0.774246461009249,0.0124114052876505,"Lowest",0.247350022635165,0.0376366019756404,0.489580264554165,13,4.975,17,0.33,0.02,0.04,200,"stabilized","ilr",42,200,FALSE
