"Gene","Module"
"ZFP69",1
"PATL2",1
"CENPU",7
"NPR2",1
"IL16",11
"TSPAN2",7
"MRPL35",1
"DLGAP1-AS2",3
"F5",10
"NFIA",1
"SEPTIN7",4
"MAL",1
"LINC02562",1
"MICAL2",5
"CNKSR2",1
"ATP6V0E2",2
"IGLV3-10",1
"BEGAIN",15
"HVCN1",1
"GNG2",1
"ATP2B1-AS1",1
"CRLS1",1
"PFKFB4",4
"STAP1",1
"MFSD2A",3
"ZNF540",1
"GPRC5B",1
"JAZF1",5
"ZNF559",1
"TGIF1",3
"PIGL",1
"BTN3A3",1
"TUBB6",1
"FZD1",1
"FNDC3A",3
"ZNF331",8
"CSF2",3
"ARHGAP22",1
"RBL2",1
"CLIC4",3
"ACP3",10
"VIPR1",1
"GPRASP1",1
"FAH",5
"MED25",2
"LINC00957",8
"LOC100130357",3
"FPR2",6
"MTMR11",4
"YME1L1",1
"MAGEE1",1
"PKIA",15
"SECTM1",2
"ZNF385A",2
"TADA2A",1
"KLHL3",1
"TNFSF4",1
"AS3MT",1
"CCNL1",11
"LYPLAL1",1
"LPP",3
"TMSB10",11
"ARID5A",6
"HDC",1
"HERC5",13
"HLA-DMA",4
"GOSR2",1
"CD200",1
"LMNA",1
"HOMER1",3
"IGK",1
"CCR6",1
"ADRB1",3
"ATP10D",1
"PURB",1
"KALRN",1
"ZNF2",8
"NBEA",1
"SHTN1",4
"LMTK2",1
"LOC105374809",1
"EPSTI1",13
"KLRD1",1
"PTGDS",1
"SOS1",8
"LUC7L3",3
"CFAP97",1
"MBLAC2",1
"CRLF2",3
"SLC7A1",3
"JAG1",1
"ASAP1",1
"MEX3C",8
"SSBP2",1
"MRAS",4
"SEPTIN7P14",1
"ANKRD13C",1
"JAML",1
"GLOD5",5
"PIK3IP1-DT",1
"OXNAD1",1
"TRG-AS1",1
"NUP43",8
"EIF5A",1
"NCAM1",1
"RASA4",1
"HSPA13",1
"CDK12",1
"ZNF736",1
"RAD54B",1
"EVI5",3
"PCBD2",1
"CLEC4C",1
"KDM7A-DT",3
"GLDN",7
"ACAA2",1
"FAM161A",1
"BHLHE40",1
"METTL13",8
"TAMALIN",1
"RNMT",1
"NLRC3",1
"ST20",1
"DSE",1
"MPP1",1
"CLEC1B",9
"H2AC25",5
"CT75",3
"NCAPH2",2
"DCUN1D3",3
"GCNT2",1
"SYNE4",1
"ARRDC4",4
"CENPK",1
"LOC101928487",3
"SULF2",4
"BCORP1",0
"MAP3K2",11
"LCK",1
"LOC729870",5
"FCGR2A",4
"ARL8B",3
"CASP5",2
"ZCCHC24",3
"GABBR1",1
"SLC46A1",3
"LDLRAD4-AS1",1
"ATP8B2",1
"B4GALT5",1
"CTSH",2
"EAF2",4
"SIRPA",6
"NDST1",1
"KREMEN1",1
"H2AC11",9
"VSIG4",7
"PIWIL4",1
"RTKN2",1
"MYO1F",2
"ARL6",1
"PTTG1",5
"IFNLR1",1
"ZNF137P",1
"ASAP1-IT1",1
"HIVEP2",4
"LINC01963",1
"GLT1D1",10
"GMPS",1
"ZNF792",1
"LIPH",9
"TSPAN16-AS1",2
"IGIP",1
"NCF4",10
"MARCKS",1
"SERPINE2",4
"TMTC1",4
"IL23A",3
"SLC35D3",9
"PLEKHG1",1
"CDC42BPA",5
"RETREG1",15
"HINT2",1
"MPHOSPH6",8
"CISH",1
"SNHG9",2
"PTP4A1",1
"CSF3R",10
"CRNDE",1
"IMPA2",4
"MCTP2",1
"PJVK",1
"SLC11A2",1
"VDR",6
"MTF1",3
"SPSB1",3
"MX1",13
"CD27",1
"PPARGC1A",1
"AIF1",4
"EPOP",3
"PEG10",1
"OSER1-DT",1
"BAZ2B-AS1",7
"SMIM48",1
"RAB8B",1
"ZNF284",1
"PPOX",1
"ASAH2B",1
"BCAS4",1
"NASP",2
"CELF2",3
"H2BC8",9
"PNP",3
"GPRC5A",1
"LINC01504",4
"SLC12A9",1
"STX7",1
"MLLT3",1
"FREM3",1
"ANKRD46",1
"SVIL",1
"ZNF844",3
"ZNF418",1
"CAMK1",1
"FIG4",1
"MRNIP-DT",1
"IL31RA",1
"ZFP3",1
"PPP1R17",1
"WDR73",1
"TRIP10",3
"ITPRIP",1
"SCFD2",1
"RHOU",1
"TRAV8-6",1
"TSPYL5",1
"SNX21",1
"SAV1",3
"ACKR1",5
"PUS7",1
"ADA",6
"FLT3LG",1
"CXCL6",1
"PTPRD",3
"IL7R",15
"RIDA",1
"SAMD4A",1
"NLRC4",10
"SKAP1",1
"SGCB",1
"PRC1",7
"TENT5C",1
"GUCY1A1",1
"NABP1",3
"SIMC1P1",1
"LINC01857",1
"SLC27A3",2
"CMTM7",1
"PRKAR2B",9
"ALOX5",2
"ATP2B4",1
"LOC100190986",2
"FBXO6",2
"MYOF",10
"TMEM170B",4
"HGD",9
"PRG2",1
"GCSAM",1
"CTDSPL",9
"LONRF3",1
"TRIM71",4
"PDE3A",9
"STN1",1
"TPP2",1
"BPTF",1
"CALHM6",1
"SAMD3",1
"SCAPER",1
"HHEX",4
"VNN2",4
"SHISA2",2
"TMCC3",1
"ZNF439",1
"B3GLCT",1
"GALNT12",1
"BOC",1
"NFAM1",4
"CD9",9
"LOC105370792",1
"CDT1",7
"CRYBG3",3
"ATP8A2",1
"SDE2",5
"NINJ2",5
"NCAPG",7
"ASPM",7
"TRAPPC12",1
"SLC2A3",1
"VSIR",2
"PNPLA8",1
"SLC16A3",3
"BACH2",15
"NAIP",4
"LINC00515",4
"PPAT",1
"VCAM1",3
"PTCH1",1
"CTSB",5
"RCSD1",1
"VEPH1",9
"KLHL6",2
"TRPM6",7
"FTH1",1
"RAB31",6
"CNTLN",0
"CHMP4B",1
"TTC39B",1
"ZNF202",1
"ZNF215",2
"BATF3",6
"ADAM23",1
"TSPO",10
"ZSCAN26",1
"S100A9",10
"DHODH",1
"AASS",1
"MCTS1",1
"MSANTD2",1
"IRAG1",4
"LOC105372404",1
"TESC",5
"LINC00622",1
"SCRIB",2
"DAB2",1
"ARHGEF7",2
"CAPZA1",11
"TRAV24",1
"HOXB3",1
"KNL1",7
"ADAM9",1
"JMJD6",1
"CARNS1",1
"AGMAT",1
"CASP4LP",1
"TMEM169",1
"NRCAM",1
"DGAT2",1
"ITGA6",1
"ANO5",4
"BPNT1",1
"SPAG9",1
"RAB30",3
"TRIM32",1
"SAMHD1",3
"HNRNPC",2
"EPHB2",4
"FUCA1",3
"TESMIN",1
"MUC8",1
"FAM200B",1
"ZNF658",1
"LINC02754",1
"DNAJC10",1
"PRAG1",1
"ATP2B1",1
"ZBP1",3
"FAM20C",15
"DPY19L4",1
