gene,logFC_unadj,logFC_adj,se_unadj,se_adj,p_unadj,p_adj,CCI,CCI_signed,FDR_unadj,FDR_adj
SPIB,0.35946734438718914,0.07263684376352224,0.4079317430476946,0.4822101830471318,0.3873284134900017,0.8818528034382198,0.7979320099650451,-0.7979320099650451,0.728700729258061,0.943975638495595
SPICE1,-0.19665477240659957,-0.011189559696647448,0.10449167600835761,0.08702351241350983,0.07254852191386829,0.8990405951208262,0.9431004925041324,0.9431004925041324,0.3876627319340645,0.9517250177191754
SPIDR,-0.03616568510466663,0.04234077687518405,0.16908156572203753,0.20112974482226,0.8325138650983834,0.8355071315876503,,,0.9473980397124275,0.9175222426666386
SPIN1,-0.03065603510147534,0.09668888101042646,0.10651271974779312,0.12701171732537023,0.776065320531569,0.45584736873641696,,,0.9284385414303666,0.6744837530436967
SPIN2A,0.0969819939352821,0.31607485985452016,0.11661398236400475,0.11626334502772606,0.41415799330821745,0.013630355038085514,,,0.7471796580792095,0.13059112024463126
SPIN2B,-0.1508659210981909,-0.018325154454363182,0.11856846833538771,0.11155203587735409,0.21594646765890826,0.8712500503210845,0.8785335063016898,0.8785335063016898,0.5793090535581515,0.9383516519025528
SPIN3,-0.0876388571174419,0.152947865744479,0.10628330789616819,0.10428778545416531,0.4180812364794533,0.15884314014815715,,,0.7492835650945076,0.3862488012197179
SPIN4,0.18478577657795542,0.08180003881173795,0.12434608833532454,0.1356707195729541,0.15084301343317238,0.5536842545842402,0.5573250261649384,-0.5573250261649384,0.5014939540825719,0.7459422478027782
SPINK2,-1.2049006886603746,-0.8889204741099961,0.2746260289657187,0.309613615585407,0.00021435153674934874,0.009780499771000028,0.26224585770773334,0.26224585770773334,0.06872319391634608,0.11557961222370321
SPINT1,-0.14478844536789479,-0.3219547852407134,0.3757039724098013,0.2940415602354631,0.7034977386989681,0.28723393173409734,1.0,-1.2236220882312427,0.8961602650642442,0.5266689960447355
SPINT2,-0.2639596163207361,0.0031165138754299672,0.14286748914235967,0.11269655500402863,0.07756528538874352,0.9782264897223085,1.0,1.0118067828665243,0.39642972838034285,0.9897069238783092
SPIRE1,0.03753979697403862,-0.09723502189765337,0.15031370082810513,0.12227300095789571,0.8050031521697714,0.43630266468454937,,,0.9382882120731743,0.6578812106973089
SPN,0.19974322724591378,-0.030413422988946302,0.1689462924739262,0.1532229800795202,0.24917035835729257,0.8447691790403415,1.0,-1.1522625993796667,0.6080089772798609,0.9228364380026004
SPNS1,-0.08953111130345043,-0.1511498891233626,0.14418758083896696,0.11645389367366936,0.5407477054282246,0.20984507234690403,,,0.8232717845557115,0.44576817647059686
SPNS3,-0.45368102855038733,-0.05644944187688654,0.20524134554921353,0.1772335228875902,0.03729336313051271,0.7535778375662817,0.8755746034669882,0.8755746034669882,0.3078455115555277,0.8744520538670967
