"Gene","logFC.unadj","AveExpr","P.Value.unadj","adj.P.Val.unadj","logFC.adj","P.Value.adj","adj.P.Val.adj","CCI"
"MARK2P21",0.102806494121212,0.0307434965909091,0.0275234649332647,0.0536525416385091,0.0298127011964793,0.777488500879449,0.928386654902741,0.710011498287947
"MARK3",0.556730448545454,0.2339661145,0.00191642570565535,0.00582151791525889,0.579525885776759,0.153211093650742,0.482527879361146,0.0409451958139917
"MARK4",0.138542573969697,0.0560375518863636,0.277202044698466,0.366564472384404,0.26780908123807,0.351390562252131,0.699081931888789,0.933045370563475
"MARS1",0.00462114909090909,0.0532329437272727,0.965696664528686,0.975425800350492,0.0367361821759459,0.879154030103167,0.965219710675585,NA
"MARS2",-0.101091199424242,-0.0997972457954545,0.517807325738588,0.604613452957928,-0.310698137511158,0.320844218360986,0.671795016313908,1
"MARVELD1",-1.08008480354545,-0.444387667340909,7.10521377546323e-06,4.853865648593e-05,-0.552488506678115,0.211673865575561,0.562715704367674,0.488476733618941
"MARVELD2",-0.0588019238181816,0.0200732283181818,0.584472294031482,0.664505448492909,0.24111515188578,0.329508675334671,0.678481429664666,NA
"MARVELD3",0.180157862666667,0.0564099466363636,0.00151655430277924,0.00477599426866992,0.232671779414534,0.0638045586491944,0.312696123140201,0.291488342338019
"MAS1",0.0871444604242423,0.0472798081363636,0.0789508190954366,0.129542431178106,0.0487735298728313,0.641456888138296,0.873245638009315,NA
"MAS1L",0.157955405,0.0432682354318182,0.00196909909427991,0.00596032759154466,0.333824139465702,0.00455799899397818,0.0730751265138168,1
"MASP1",0.0289641273333333,0.0283246724090909,0.556032010153834,0.639628505539492,-0.0213369420454879,0.853346229383505,0.956598883385026,NA
"MASP2",0.149740736636363,0.0403318983409091,0.0409252069254752,0.0746016042589435,0.0456502022822078,0.779231295662923,0.929243834027037,0.69513838847296
"MAST1",0.208035173060606,0.06266062075,0.0169527771195773,0.035833569770224,0.105269326479945,0.580769819676064,0.843850590146608,0.493983036948864
"MAST2",0.015008393,0.0820853844318181,0.918156647439945,0.940512279693919,-0.103396730108849,0.745418722628961,0.916816097784799,NA
"MAST3",-0.391300575042424,-0.0963211314454545,0.000422804962728636,0.00162802019096106,-0.397778796267038,0.0982526937289819,0.387135858655365,0.0165556138625957
"MAST4",-0.396866080151515,-0.0792789739772727,0.0068533630510429,0.0168396695380303,-0.48988039391781,0.0932543582480483,0.377740292182677,0.234372042404795
"MASTL",0.724398372999999,0.0987894947954545,1.63996127503334e-06,1.3755448950643e-05,0.778803439352795,0.017866321121116,0.16064643685955,0.0751037942389144
"MAT1A",0.12525629630303,0.0369183508636364,0.0189312376497939,0.0393609755633677,0.0961760207855912,0.425578566023589,0.753446513042143,0.232166177475706
"MAT2A",0.163638364836364,0.0845993516454545,0.100890533214966,0.159040181354219,-0.181086942554307,0.38856903573869,0.72807684111606,1
"MAT2B",-0.125387472909091,-0.0615940384090909,0.268497370780726,0.357310485014172,-0.0616417816794463,0.800682276631465,0.937948627605102,0.508389632159361
"MATCAP1",-0.152231408060606,0.0263404245909091,0.115135892394345,0.177366664111773,-0.142706523141438,0.501933654138499,0.80109161046804,0.062568461006261
"MATCAP2",0.120742316272727,0.0477279743409091,0.067281974704007,0.113116561943322,0.179630716938233,0.22171897252529,0.573960604750746,0.487719653584343
"MATK",0.0507969309090908,0.0510321240909091,0.417438700015604,0.508725871074201,-0.00118348361745803,0.993505590765148,0.998790692533177,NA
"MATN1",0.395097337121212,0.09229302925,9.23133725910909e-07,8.41925505129959e-06,0.297191241130594,0.0782196901794979,0.344603425705982,0.247802469902704
"MATN1-AS1",-0.365646177696969,-0.0606114103636364,0.018117577361115,0.0379017304610709,-0.107001076450074,0.751821109417443,0.918718864069986,0.707364433223335
"MATN2",0.314930117030303,0.111235643409091,0.01180927228029,0.0265041523432047,-0.286801211007602,0.245318663873142,0.600682529409642,1
"MATN3",0.00127277893939393,0.0816473727045454,0.988034735380572,0.991470409005785,-0.0151574910349558,0.937179648519775,0.982690336548159,NA
"MATN4",0.264695292,0.0368412034545454,0.000595100867072649,0.00217311542687011,-0.0549456584996187,0.726794758472579,0.908572036363502,1
"MATR3",0.223115387212121,0.0612522177727273,0.0483745843159282,0.085772106282518,0.240774327520852,0.348365531960125,0.696763691580826,0.0791471199247308
"MAU2",0.212209177878788,0.0468984534090909,0.000338655922927905,0.00134523758075249,0.12674998533571,0.33297270354184,0.681682684702905,0.402712047599991
"MAVS",-0.47194694130303,-0.0852310145681818,9.58894732094363e-05,0.000457590994500002,-0.319949316540828,0.227976658401569,0.580785213932823,0.322065070159246
"MAX",1.23779402445454,0.307770967113636,1.9024644590505e-13,2.53919553268897e-11,1.07169762575388,0.000547422599988009,0.0211218859253015,0.134187429749353
"MAZ",0.0431376824545455,-0.0211243322045455,0.597655852519447,0.676218116485789,0.0832062464643782,0.659772764418857,0.881550005655801,NA
"MB",-0.0150221051212121,0.00935750138636364,0.77021337034318,0.824473700289339,0.0405353357181413,0.72776842738666,0.909058713608173,NA
"MB21D2",0.127368538333333,0.0237441826136364,0.496677424830506,0.584995113741959,0.823858567082935,0.0372954067048819,0.2377076099135,1
"MBD1",0.171391068121212,0.0458709652727273,0.057684947426692,0.099447973867523,0.147392404105996,0.448403950590256,0.768389687705465,0.140022839453005
"MBD2",0.369156492515151,0.0900948835227273,7.68482141755537e-05,0.000378743044938599,0.309534516279153,0.12551607906754,0.43466294657839,0.161508675710346
"MBD3",-0.293296923424242,0.0602077341136363,0.0258156176221173,0.0509089033447515,-0.298139744540274,0.316076777622877,0.667944068695356,0.0165116669465596
"MBD3L1",0.0261939778787878,0.0171584375,0.616192931833368,0.69245908852821,-0.0234723146392596,0.851574902446163,0.956127461697915,NA
"MBD3L2",0.0721669756363635,0.0131492005454545,0.188897944607471,0.268069883512264,-0.176497991268592,0.132516657685316,0.445933379273548,NA
"MBD4",-0.505475092424242,-0.0837357888636364,0.000581501383627652,0.00213330390781112,0.153306341213262,0.57852108724657,0.842597922743878,1
